date,im_correction_factor,price,pnl,baseline_margin,garch_volatility,margin_950,margin_990,margin_995,dynamic_margin,baseline_breach_950,baseline_breach_990,baseline_breach_995,baseline_breach,dynamic_breach,baseline_breach_magnitude,dynamic_breach_magnitude
2025-03-12,0.9698716,65.19,-0.9399999999999977,2.8645281059787493,0.014135946580510612,1.7802267660195383,2.8645281059787493,3.3709636100165126,2.778224457390579,0,0,0,0,0,0.0,0.0
2025-03-13,0.9797535,64.25,0.5300000000000011,3.101671033985061,0.01553014071607207,1.9276046838440992,3.101671033985061,3.6500323260865564,3.0388730513954827,0,0,0,0,0,0.0,0.0
2025-03-14,0.9706913,64.78,0.539999999999992,3.1017808580478254,0.015403625679981006,1.9276729365296563,3.1017808580478254,3.650161566542711,3.0108716934135593,0,0,0,0,0,0.0,0.0
2025-03-17,0.97650516,65.32,-0.3999999999999915,3.050806778572926,0.015025236450517962,1.895993924386252,3.050806778572926,3.590175502309187,2.9791285614394396,0,0,0,0,0,0.0,0.0
2025-03-18,0.97798455,64.92,0.09000000000000341,2.927025618091469,0.014504434491860198,1.8190672799738181,2.927025618091469,3.444510397219901,2.862585831947657,0,0,0,0,0,0.0,0.0
2025-03-19,0.9731281,65.01,0.9399999999999977,2.8461382557027837,0.01408408428265239,1.7687979713025184,2.8461382557027837,3.349322518087778,2.769657113109364,0,0,0,0,0,0.0,0.0
2025-03-20,0.9682438,65.95,0.09000000000000341,2.640499565759136,0.012880243965026673,1.6409990856142278,2.640499565759136,3.107327845679196,2.556647333448976,0,0,0,0,0,0.0,0.0
2025-03-21,0.96776783,66.04,0.6599999999999966,2.82164282760537,0.013745095527682948,1.7535747250536489,2.82164282760537,3.320496410026275,2.7306951563067132,0,0,0,0,0,0.0,0.0
2025-03-24,0.97347087,66.7,-0.01999999999999602,2.524353213138478,0.01217522727461367,1.568817267855386,2.524353213138478,2.970647347658176,2.4573843185812096,0,0,0,0,0,0.0,0.0
2025-03-25,0.97026914,66.68,0.4899999999999949,2.651069951681769,0.012790230896405358,1.6475682946603358,2.651069951681769,3.119767027621469,2.5722513620981116,0,0,0,0,0,0.0,0.0
2025-03-26,0.9781227,67.17,0.28000000000000114,2.3741197210731215,0.011370512915847193,1.4754512145884897,2.3741197210731215,2.793853259409918,2.3221803916992885,0,0,0,0,0,0.0,0.0
2025-03-27,0.9755514,67.45,-0.730000000000004,2.4539963782461722,0.01170428132531453,1.5250923972959798,2.4539963782461722,2.8878517452541046,2.3939996023929826,0,0,0,0,0,0.0,0.0
2025-03-28,0.9807568,66.72,1.6700000000000017,2.2357477310036975,0.01078001957838836,1.3894567640977304,2.2357477310036975,2.6310177326102187,2.192724790266447,1,0,0,0,0,0.0,0.0
2025-03-31,0.9851201,68.39,0.010000000000005116,2.489642255231901,0.011711084948628644,1.5472453460402382,2.489642255231901,2.9297996507102324,2.452596627438276,0,0,0,0,0,0.0,0.0
2025-04-01,0.9908529,68.4,0.3199999999999932,2.858685678323282,0.01344507077675227,1.7765958552007244,2.858685678323282,3.3640882677988446,2.8325369945550913,0,0,0,0,0,0.0,0.0
2025-04-02,1.006087,68.72,-4.319999999999993,2.554363750191077,0.01195783014250066,1.5874680052009713,2.554363750191077,3.005963610783755,2.56991216233849,1,1,1,1,1,1.765636249808916,1.750087837661503
2025-04-03,1.0472884,64.4,-4.200000000000003,2.3740885297782177,0.011859430408042984,1.4754318300420655,2.3740885297782177,2.793816553636338,2.486355377809782,1,1,1,1,1,1.8259114702217851,1.7136446221902206
2025-04-04,1.0406258,60.2,-0.7100000000000009,3.9929374491321314,0.021337758926276346,2.481502662567882,3.9929374491321314,4.698870578369682,4.155153727353083,0,0,0,0,0,0.0,0.0
2025-04-07,0.97936153,59.49,-1.6400000000000006,4.468212286159733,0.024162541782960057,2.77687312317749,4.468212286159733,5.258171838857458,4.375995220938194,0,0,0,0,0,0.0,0.0
